ID	Rosette_leaf_Control_0	Rosette_leaf_Control_7200	Rosette_leaf_Control_15840	Rosette_leaf_Control_20160
RCAR1	279.3333	587	373.6667	956.6667
HAI2	14.33333	25.66667	39.33333	1188.66667
SnRK2_4	1503.333	2103	1768.667	3020.667
AFP2	363.6667	298.6667	211.6667	286.6667
ABCG40	57.33333	69	41.33333	27.33333
ABA3	228.6667	183.6667	121.6667	138.6667
AT1G16850	216.3333	359.6667	548	6029
HAB2	1299	1643.667	1177	2158.667
MYB3	314	417.6667	421.6667	1230.3333
NCED5	9	27.33333	28.66667	10
ABF2	555.6667	649.3333	524.6667	1555.3333
ABF1	1040.6667	948.6667	701	1631
FBH3	1648	910.6667	461.6667	2055
ABA2	476	562.3333	575.3333	473.6667
BG1	6515.333	7656.667	8928.667	4826.667
NFYC2	0	0	2	24.66667
SnRK2_10	1668.667	1845	1064.333	1242
ABA4	562.3333	868.3333	1058	1552
AFP1	30	64.66667	77.66667	1161.33333
AIT1	790.3333	477.6667	476.3333	828.3333
ABCG25	236	177.3333	173.6667	435.3333
HAB1	366.3333	394.3333	317	1356
PYL3	0	0	1.333333	0
DWA2	352.3333	398	267.6667	223.6667
ANAC032	59.66667	75	63.66667	278.66667
SnRK2_8	76.66667	84.33333	79.66667	242.66667
NCED9	0	0	0	1.333333
CPK6	449.3333	670	509.3333	640.6667
DWA1	460.6667	526.6667	403.6667	492
HB6	4866.333	12124.667	11216.333	33173.333
SnRK2_9	15.666667	9.666667	6.666667	33.666667
PYL2	7.333333	2.666667	8.333333	7.333333
AAO3	625	437	303.3333	384.3333
CYP707A2	69.66667	17	47	451.33333
HAI3	0.3333333	12.3333333	0.3333333	0.3333333
ABCG31	102.33333	42	29	29.66667
SnRK3_22	158.6667	300.6667	375	460.3333
LEA4_2	0.6666667	1	1.6666667	24.6666667
PYL4	732.6667	675.3333	600.6667	103.6667
EM6	0	1.333333	1.333333	4.666667
PP2C5	8.666667	2.333333	16	3.333333
PYL6	79.33333	91.66667	84	3
COR15	6336.667	3422.333	10546.667	91993.333
GBF3	54.33333	135.33333	130.33333	962.33333
TMAC2	133.33333	33.33333	31.66667	40.33333
AHG3	1729.667	1896.333	3647	16225.333
NCED3	151.6667	123.3333	150.6667	1132.3333
CYP707A4	52	33.66667	26.66667	29.66667
ABF4	574.3333	550	485.6667	1092.3333
AFP3	147.3333	220.6667	359.6667	3355.6667
SnRK2_2	5955.667	8849.667	7165	9777.667
EDL3	6	15	7.666667	45
PYL7	731	1057.667	712	1076.667
GBF2	611	410.6667	367.3333	1001
ABCG30	53	33.33333	23	19.66667
PYR1	896.6667	1354.6667	778	1030
NCED2	0.6666667	0.6666667	9	1
CYP707A1	120	83	115.3333	253.6667
CPK3	3212.667	3845.333	2565	2721.667
ABI1	1215.667	2269	1979	5294.667
RD26	661	405	847.3333	2531.3333
PYL10	0	0.6666667	1.6666667	0.3333333
OST1	527.3333	448.6667	266.6667	351.6667
ABF3	273.3333	234	230	2023.6667
HAT22	694.3333	869.6667	691.6667	1440
SnRK2_7	16	22.66667	21.66667	38
SnRK3_15	287.6667	327.6667	536	1861.3333
ZAT6	157	115	962.3333	757.6667
MUK11_7	487	403.3333	720.3333	1609.6667
CPK1	1510	1251	832.6667	466.3333
DREB2A	206.6667	85	123	185
PYL5	359.3333	286	417.3333	57
LEA4_5	7	15.33333	36	1212.33333
SnRK2_1	2609.333	2681	1580.333	2560
CPK12	610.3333	563.6667	506	471
HSFA6A	0.6666667	2.3333333	4.6666667	217
CYP707A3	472.66667	126	606.33333	43.66667
PYL11	1.333333	1.666667	3.333333	2.666667
PYL1	791.3333	949	716	586
HB7	310.6667	188.6667	114	39
NFYB2	2037.333	2590.667	2016.667	6096.333
AHG1	0	0	1.3333333	0.3333333
RD29A	7596.333	4688	4647	21035.667
RCAR3	2392.667	4083.333	3854.667	3478.333
ABI2	255.6667	330.6667	440.3333	1668.3333
HAI1	13.33333	24	68.33333	2137.33333
SnRK2_5	105.6667	164.3333	122.6667	100.6667
ANAC102	630.6667	574.3333	454	752
HB5	1854	3937.333	2760.333	2461
SnRK2_3	1323.333	1697.667	1514	2027.667
ABA1/ZEP	3319.333	3343.333	2860.333	6322
MYB44	2808.333	1523.667	5246.333	3534.667
