Dataset,Repeticion,Metodo,FinalScore,Combinaciones,CarpetaReglas,Status
1,2,WCSS,0.08030997515442484,9997,rules_WCSS_size10_1_2_5times,SUCCESS
2,2,WCSS,0.10222222222222224,9997,rules_WCSS_size10_2_2_5times,SUCCESS
2,4,WCSS,0.052,9997,rules_WCSS_size10_2_4_5times,SUCCESS
2,5,WCSS,0.04285714285714286,9997,rules_WCSS_size10_2_5_5times,SUCCESS
3,1,SSD,0.07924369747899161,9997,rules_SSD_size10_3_1_5times,SUCCESS
3,2,SSD,0.06,9997,rules_SSD_size10_3_2_5times,SUCCESS
3,3,SSD,0.062222222222222234,9997,rules_SSD_size10_3_3_5times,SUCCESS
4,1,WCSS,0.019999999999999997,9997,rules_WCSS_size10_4_1_5times,SUCCESS
4,2,WCSS,0.07666666666666666,9997,rules_WCSS_size10_4_2_5times,SUCCESS
4,4,WCSS,0.022307692307692306,9997,rules_WCSS_size10_4_4_5times,SUCCESS
4,5,WCSS,0.029047619047619044,9997,rules_WCSS_size10_4_5_5times,SUCCESS
5,1,WCSS,0.0854231924950678,9997,rules_WCSS_size10_5_1_5times,SUCCESS
5,2,WCSS,0.048128946783652427,9997,rules_WCSS_size10_5_2_5times,SUCCESS
5,4,WCSS,0.032,9997,rules_WCSS_size10_5_4_5times,SUCCESS
5,5,WCSS,0.054285714285714284,9997,rules_WCSS_size10_5_5_5times,SUCCESS
