Dataset	Replicate	Method	File	Total_Genes	Unique_Patterns	Distinct_Patterns	Max_Frequency	Unique_Ratio
2	1	SSD	bin_SSD_size100_2_1.tsv	100	42	61	5	0.42
2	1	WCSS	bin_WCSS_size100_2_1.tsv	100	77	84	8	0.77
2	2	SSD	bin_SSD_size100_2_2.tsv	100	41	62	6	0.41
2	2	WCSS	bin_WCSS_size100_2_2.tsv	100	86	89	6	0.86
2	3	SSD	bin_SSD_size100_2_3.tsv	100	52	70	4	0.52
2	3	WCSS	bin_WCSS_size100_2_3.tsv	100	84	88	7	0.84
2	4	SSD	bin_SSD_size100_2_4.tsv	100	38	60	6	0.38
2	4	WCSS	bin_WCSS_size100_2_4.tsv	100	83	89	6	0.83
2	5	SSD	bin_SSD_size100_2_5.tsv	100	42	61	6	0.42
2	5	WCSS	bin_WCSS_size100_2_5.tsv	100	76	83	10	0.76
3	1	SSD	bin_SSD_size100_3_1.tsv	100	43	66	5	0.43
3	1	WCSS	bin_WCSS_size100_3_1.tsv	100	92	94	5	0.92
3	2	SSD	bin_SSD_size100_3_2.tsv	100	44	62	8	0.44
3	2	WCSS	bin_WCSS_size100_3_2.tsv	100	86	92	3	0.86
3	3	SSD	bin_SSD_size100_3_3.tsv	100	49	68	8	0.49
3	3	WCSS	bin_WCSS_size100_3_3.tsv	100	89	93	4	0.89
3	4	SSD	bin_SSD_size100_3_4.tsv	100	44	64	4	0.44
3	4	WCSS	bin_WCSS_size100_3_4.tsv	100	81	86	6	0.81
3	5	SSD	bin_SSD_size100_3_5.tsv	100	51	69	5	0.51
3	5	WCSS	bin_WCSS_size100_3_5.tsv	100	88	92	6	0.88
4	1	SSD	bin_SSD_size100_4_1.tsv	100	43	65	5	0.43
4	1	WCSS	bin_WCSS_size100_4_1.tsv	100	85	90	6	0.85
4	2	SSD	bin_SSD_size100_4_2.tsv	100	42	60	6	0.42
4	2	WCSS	bin_WCSS_size100_4_2.tsv	100	84	88	7	0.84
4	3	SSD	bin_SSD_size100_4_3.tsv	100	49	66	6	0.49
4	3	WCSS	bin_WCSS_size100_4_3.tsv	100	74	82	6	0.74
4	4	SSD	bin_SSD_size100_4_4.tsv	100	52	72	4	0.52
4	4	WCSS	bin_WCSS_size100_4_4.tsv	100	78	84	12	0.78
4	5	SSD	bin_SSD_size100_4_5.tsv	100	49	68	4	0.49
4	5	WCSS	bin_WCSS_size100_4_5.tsv	100	87	90	6	0.87
5	1	SSD	bin_SSD_size100_5_1.tsv	100	42	62	5	0.42
5	1	WCSS	bin_WCSS_size100_5_1.tsv	100	87	90	6	0.87
5	2	SSD	bin_SSD_size100_5_2.tsv	100	39	62	6	0.39
5	2	WCSS	bin_WCSS_size100_5_2.tsv	100	88	90	8	0.88
5	3	SSD	bin_SSD_size100_5_3.tsv	100	46	67	5	0.46
5	3	WCSS	bin_WCSS_size100_5_3.tsv	100	86	91	4	0.86
5	4	SSD	bin_SSD_size100_5_4.tsv	100	49	64	5	0.49
5	4	WCSS	bin_WCSS_size100_5_4.tsv	100	74	82	5	0.74
5	5	SSD	bin_SSD_size100_5_5.tsv	100	46	66	4	0.46
5	5	WCSS	bin_WCSS_size100_5_5.tsv	100	89	93	5	0.89
